dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high
tt100k,yolo11m,motion_blur,1,tt100k-height,3067,0.014298670587871265,0.0030569270394965042,-0.01678952662198432,0.002325005396302482,0.021140023904122417,-0.016838794953001612,-0.012186888513407879,-0.004651906439593734,-0.03921520470549419,-0.003174266647695656,0.0327313647741818
tt100k,yolo11m,motion_blur,3,tt100k-height,3067,0.014298670587871265,0.0037072248680157793,-0.01658485525976702,0.0011511600044876447,0.019847613864759667,-0.037706550190625965,0.00806602267207257,-0.045772572862698535,-0.07689002163095375,-0.04598432254245399,-0.015301273468190869
tt100k,yolo11m,motion_blur,5,tt100k-height,3067,0.014298670587871265,-0.002567356616060057,-0.01788334373539018,-0.0019666486553360785,0.013446207584813099,-0.03881745444123674,0.00040514934586999285,-0.039222603787106736,-0.07222688171239983,-0.04480532107422225,-0.018105946782993865
tt100k,yolo11n,fog,1,tt100k-height,3067,0.01117859619719963,0.00801853025096036,-0.004000785137926288,0.006876960154075046,0.017660028348982656,0.01665063168822517,0.011541373292917267,0.005109258395307903,-0.030427139275919023,0.004526517171732483,0.035904178827737464
tt100k,yolo11n,fog,3,tt100k-height,3067,0.01117859619719963,0.002776599724548301,-0.00973383478446915,0.0022719321242015145,0.014860011712583523,0.016955808349995466,0.0061772317171910895,0.010778576632804376,-0.023719183717998173,0.007625656048658613,0.037378642488637884
tt100k,yolo11n,fog,5,tt100k-height,3067,0.01117859619719963,-0.0010453715041746359,-0.009392428514663492,0.0018369153644270941,0.01274930610751209,7.865032350506951e-05,0.00737967230249198,-0.00730102197898691,-0.04486905284750654,-0.011712052548605231,0.02070973670193993
tt100k,yolo11n,gaussian_noise,1,tt100k-height,3067,0.01117859619719963,0.002635317268310039,-0.008932723545782117,0.003928604388730633,0.017022725925728146,0.023465183695433878,0.013038655154153922,0.010426528541279956,-0.026142823615122723,0.006534773354957751,0.03796150445416137
tt100k,yolo11n,gaussian_noise,3,tt100k-height,3067,0.01117859619719963,0.0025612391621026576,-0.007012055136218385,0.005435121885448438,0.017272624215524255,0.002981846884449052,0.0175616318041793,-0.014579784919730249,-0.04556762539562936,-0.015868661857645128,0.016996375932893614
tt100k,yolo11n,gaussian_noise,5,tt100k-height,3067,0.01117859619719963,-0.00717035114529932,-0.01894664050368709,-0.006994722640442735,0.00482604155871692,0.007062001346576502,0.0006147878834078524,0.0064472134631686495,-0.025118390417508206,0.007470660048289987,0.03764984886965142
tt100k,yolo11n,jpeg,1,tt100k-height,3067,0.01117859619719963,-0.0009847194367325063,-0.008772207944396362,0.0016335808609121427,0.012767355312460888,0.005353390407112052,0.005236192263039674,0.00011719814407237794,-0.02383971733384226,0.0016221123084843997,0.026769319992124275
tt100k,yolo11n,jpeg,3,tt100k-height,3067,0.01117859619719963,0.016604830811476456,0.0023523919091738067,0.014514983451529212,0.027460657830346062,0.011687607702001557,0.020308450864177874,-0.008620843162176317,-0.040683401735915795,-0.006718569767145674,0.024784322074493655
tt100k,yolo11n,jpeg,5,tt100k-height,3067,0.01117859619719963,0.011385071474990932,-0.003922285419899507,0.009957204058928484,0.023734245351237207,0.013375777322995192,0.027227331666921206,-0.013851554343926015,-0.041052789894125606,-0.007075238810191467,0.02556440022363233
tt100k,yolo11n,motion_blur,1,tt100k-height,3067,0.01117859619719963,0.0032476448044797546,-0.008234382075352136,0.0035451826752963267,0.015866663453418955,0.009379149645240142,0.015340040876085759,-0.005960891230845616,-0.04353882809055182,-0.007839342752507208,0.025908176646404334
tt100k,yolo11n,motion_blur,3,tt100k-height,3067,0.01117859619719963,0.006197389821495314,-0.006565824120752845,0.006862751590614072,0.020928835313845272,0.005256611875893574,0.026937223183627457,-0.021680611307733882,-0.051017060413727465,-0.01998310822891708,0.008693559386907626
tt100k,yolo11n,motion_blur,5,tt100k-height,3067,0.01117859619719963,-0.0003006376566744018,-0.014841756024523027,-0.0027586805762522815,0.009430254870664274,0.0054551606627539495,0.014568539557920201,-0.009113378895166252,-0.0353659447072919,-0.004086659317456054,0.024514479728470994
tt100k,yolo11x,fog,1,tt100k-height,3067,0.0007932389405710394,0.014079910425416009,-0.002850630977372137,0.01116419961331283,0.026930766159510088,-0.0020168220881550125,0.012945461211048226,-0.014962283299203238,-0.03646480475492115,-0.010847299803788735,0.014892068799716994
tt100k,yolo11x,fog,3,tt100k-height,3067,0.0007932389405710394,0.007567995321042131,-0.010246648963413083,0.005588907300580315,0.020726340208644393,-0.0033234893524505815,0.01538559733715783,-0.018709086689608412,-0.03542142358892609,-0.011588385312834099,0.014581741627485736
