dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high,clean_gap_ap,adjusted_interaction_ap,raw_corrupt_gap_ap,min_corrupt_ap
tt100k,yolo11m,jpeg,3,tt100k-height,3067,0.0142986706,0.0067011782,-0.0123578053,0.0039654452,0.0195431942,-0.0178027225,0.0023769407,-0.0201796632,-0.0531854145,-0.0230441131,0.0074208966,1.4298670588,0.6701178172,2.0999848759,52.4314790773
tt100k,yolo11m,jpeg,5,tt100k-height,3067,0.0142986706,-0.0290306423,-0.0459598585,-0.0227159807,0.0014218027,-0.0287687546,-0.0385493059,0.0097805513,-0.0524749434,-0.0096243823,0.0292748877,1.4298670588,-2.9030642271,-1.4731971683,40.3082818710
tt100k,yolo11m,motion_blur,1,tt100k-height,3067,0.0142986706,0.0030569270,-0.0167895266,0.0023250054,0.0211400239,-0.0168387950,-0.0121868885,-0.0046519064,-0.0392152047,-0.0031742666,0.0327313648,1.4298670588,0.3056927039,1.7355597627,48.7705748332
tt100k,yolo11m,motion_blur,3,tt100k-height,3067,0.0142986706,0.0037072249,-0.0165848553,0.0011511600,0.0198476139,-0.0377065502,0.0080660227,-0.0457725729,-0.0768900216,-0.0459843225,-0.0153012735,1.4298670588,0.3707224868,1.8005895456,18.2509305669
tt100k,yolo11m,motion_blur,5,tt100k-height,3067,0.0142986706,-0.0025673566,-0.0178833437,-0.0019666487,0.0134462076,-0.0388174544,0.0004051493,-0.0392226038,-0.0722268817,-0.0448053211,-0.0181059468,1.4298670588,-0.2567356616,1.1731313972,4.2184734064
tt100k,yolo11n,fog,1,tt100k-height,3067,0.0111785962,0.0080185303,-0.0040007851,0.0068769602,0.0176600283,0.0166506317,0.0115413733,0.0051092584,-0.0304271393,0.0045265172,0.0359041788,1.1178596197,0.8018530251,1.9197126448,24.7863033783
tt100k,yolo11n,fog,3,tt100k-height,3067,0.0111785962,0.0027765997,-0.0097338348,0.0022719321,0.0148600117,0.0169558083,0.0061772317,0.0107785766,-0.0237191837,0.0076256560,0.0373786425,1.1178596197,0.2776599725,1.3955195922,24.7033387545
tt100k,yolo11n,fog,5,tt100k-height,3067,0.0111785962,-0.0010453715,-0.0093924285,0.0018369154,0.0127493061,0.0000786503,0.0073796723,-0.0073010220,-0.0448690528,-0.0117120525,0.0207097367,1.1178596197,-0.1045371504,1.0133224693,24.3649432353
tt100k,yolo11n,gaussian_noise,1,tt100k-height,3067,0.0111785962,0.0026353173,-0.0089327235,0.0039286044,0.0170227259,0.0234651837,0.0130386552,0.0104265285,-0.0261428236,0.0065347734,0.0379615045,1.1178596197,0.2635317268,1.3813913466,23.8913806509
tt100k,yolo11n,gaussian_noise,3,tt100k-height,3067,0.0111785962,0.0025612392,-0.0070120551,0.0054351219,0.0172726242,0.0029818469,0.0175616318,-0.0145797849,-0.0455676254,-0.0158686619,0.0169963759,1.1178596197,0.2561239162,1.3739835359,15.8920286178
