dataset,model,precision,corruption,severity,endpoint_type,endpoint,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11n,int8-entropy,gaussian_noise,3,coco-area,small,0.17863356026601016,0.118512496732912,0.06012106353309815,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6698342b952ac50e3eaa9bc062df78b3ba606fa315ea8e0a48ad4985a9501d15
coco,yolo11n,int8-entropy,gaussian_noise,3,coco-area,large,0.5451938957193468,0.3977479932388205,0.14744590248052636,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6698342b952ac50e3eaa9bc062df78b3ba606fa315ea8e0a48ad4985a9501d15
coco,yolo11n,fp8,gaussian_noise,3,coco-area,small,0.18906450018136642,0.11886293380513552,0.0702015663762309,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aa7d3f1b5e0e5bf07e51008093ad1b82368e1929b7dc96956823a0d5e21f121f
coco,yolo11n,fp8,gaussian_noise,3,coco-area,large,0.5507655944762213,0.4014145652014684,0.1493510292747529,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aa7d3f1b5e0e5bf07e51008093ad1b82368e1929b7dc96956823a0d5e21f121f
coco,yolo11n,int8-entropy,gaussian_noise,5,coco-area,small,0.17863356026601016,0.0519043342451028,0.12672922602090736,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,4db57d20a732555b94b35d5e212e76a4d25b65245edecc2c6471476870c9f998
coco,yolo11n,int8-entropy,gaussian_noise,5,coco-area,large,0.5451938957193468,0.17408726364107635,0.3711066320782705,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,4db57d20a732555b94b35d5e212e76a4d25b65245edecc2c6471476870c9f998
coco,yolo11n,fp8,gaussian_noise,5,coco-area,small,0.18906450018136642,0.056306257218723496,0.13275824296264294,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aac75a3f7166f072511fad1e403b34e5b4ef7a0053e2688ae52445225a871e16
coco,yolo11n,fp8,gaussian_noise,5,coco-area,large,0.5507655944762213,0.18747283902324638,0.3632927554529749,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aac75a3f7166f072511fad1e403b34e5b4ef7a0053e2688ae52445225a871e16
coco,yolo11n,int8-entropy,jpeg,1,coco-area,small,0.17863356026601016,0.17663518535956885,0.001998374906441308,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,b93eee01146662d15e0cffd78916729192a0196fa2b2d7a84f9fc2fb75029de6
coco,yolo11n,int8-entropy,jpeg,1,coco-area,large,0.5451938957193468,0.5335449375844576,0.011648958134889198,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,b93eee01146662d15e0cffd78916729192a0196fa2b2d7a84f9fc2fb75029de6
coco,yolo11n,fp8,jpeg,1,coco-area,small,0.18906450018136642,0.18205092659875444,0.007013573582611982,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,93a9a5b565508f6552d0240d2f9c0298cdf3e31fc0d7978ea48d81b488ec3efc
coco,yolo11n,fp8,jpeg,1,coco-area,large,0.5507655944762213,0.5456753218176937,0.005090272658527573,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,93a9a5b565508f6552d0240d2f9c0298cdf3e31fc0d7978ea48d81b488ec3efc
coco,yolo11n,int8-entropy,jpeg,3,coco-area,small,0.17863356026601016,0.15269157176978315,0.025941988496227003,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,da5face9f90751c67b0feaf0fd91b38ea02cb11ad65d26d485282a1ad01e4b76
coco,yolo11n,int8-entropy,jpeg,3,coco-area,large,0.5451938957193468,0.5064949533418933,0.03869894237745353,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,da5face9f90751c67b0feaf0fd91b38ea02cb11ad65d26d485282a1ad01e4b76
coco,yolo11n,fp8,jpeg,3,coco-area,small,0.18906450018136642,0.16549293862119696,0.023571561560169457,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,34203c9e162ed71de878bf322438cffc09e1b04e3ae7fbf8b561789e574b8b89
coco,yolo11n,fp8,jpeg,3,coco-area,large,0.5507655944762213,0.5095044181942371,0.041261176281984224,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,34203c9e162ed71de878bf322438cffc09e1b04e3ae7fbf8b561789e574b8b89
coco,yolo11n,int8-entropy,jpeg,5,coco-area,small,0.17863356026601016,0.10682046160351952,0.07181309866249064,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,52bac03d651db828a86d28a3604737c5ae2ceaa5fa5bd0c9fc321d7592047aa6
coco,yolo11n,int8-entropy,jpeg,5,coco-area,large,0.5451938957193468,0.30821711176951483,0.23697678394983201,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,52bac03d651db828a86d28a3604737c5ae2ceaa5fa5bd0c9fc321d7592047aa6
coco,yolo11n,fp8,jpeg,5,coco-area,small,0.18906450018136642,0.10861068129645113,0.08045381888491529,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,0baeebc601035e7c192e5cccfad8d783e255737f9088a63fd64a78364c73421f
coco,yolo11n,fp8,jpeg,5,coco-area,large,0.5507655944762213,0.29168434596374226,0.25908124851247905,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,0baeebc601035e7c192e5cccfad8d783e255737f9088a63fd64a78364c73421f
coco,yolo11n,int8-entropy,motion_blur,1,coco-area,small,0.17863356026601016,0.11774552539878716,0.060888034867222995,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,378f377ab5255e065e9a8d51a2571e1c471c96543d4a63553f4311589dbc749c
coco,yolo11n,int8-entropy,motion_blur,1,coco-area,large,0.5451938957193468,0.5027922959496681,0.04240159976967872,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,378f377ab5255e065e9a8d51a2571e1c471c96543d4a63553f4311589dbc749c
coco,yolo11n,fp8,motion_blur,1,coco-area,small,0.18906450018136642,0.13272420275199606,0.056340297429370356,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c0e818bc4269ef07d9bb352a755362df750962f11e6994b739cf5b8e0f082b66
coco,yolo11n,fp8,motion_blur,1,coco-area,large,0.5507655944762213,0.5059132308210832,0.04485236365513812,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c0e818bc4269ef07d9bb352a755362df750962f11e6994b739cf5b8e0f082b66
coco,yolo11n,int8-entropy,motion_blur,3,coco-area,small,0.17863356026601016,0.03009539269004406,0.1485381675759661,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,2e01993e446070c988eb18165ac0c4b8cc9288e86b2684d4141e4d9f57a7bb78
coco,yolo11n,int8-entropy,motion_blur,3,coco-area,large,0.5451938957193468,0.2811644558396881,0.26402943987965877,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,2e01993e446070c988eb18165ac0c4b8cc9288e86b2684d4141e4d9f57a7bb78
coco,yolo11n,fp8,motion_blur,3,coco-area,small,0.18906450018136642,0.0357249852692668,0.15333951491209963,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c7f68cc30b88878aaaefc0afcc7fff95de2641aebba7b2dd9b9e4ec229905e05
coco,yolo11n,fp8,motion_blur,3,coco-area,large,0.5507655944762213,0.28864371142963163,0.2621218830465897,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c7f68cc30b88878aaaefc0afcc7fff95de2641aebba7b2dd9b9e4ec229905e05
coco,yolo11n,int8-entropy,motion_blur,5,coco-area,small,0.17863356026601016,0.005354732655326409,0.17327882761068375,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,dda5ee3cfd91e6b2a500c12c81c7654a8ed7c38bd9d456877f84f4157e8d6be1
coco,yolo11n,int8-entropy,motion_blur,5,coco-area,large,0.5451938957193468,0.12658054852307726,0.4186133471962696,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,dda5ee3cfd91e6b2a500c12c81c7654a8ed7c38bd9d456877f84f4157e8d6be1
coco,yolo11n,fp8,motion_blur,5,coco-area,small,0.18906450018136642,0.005013875761823852,0.18405062441954256,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,2d579e4f896b7ade7f097670264c493a4a38596b2cecfd6d9fdb36b20f9a8881
coco,yolo11n,fp8,motion_blur,5,coco-area,large,0.5507655944762213,0.1245746885730948,0.4261909059031265,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,2d579e4f896b7ade7f097670264c493a4a38596b2cecfd6d9fdb36b20f9a8881
coco,yolo11x,int8-entropy,fog,1,coco-area,small,0.351353247525937,0.358397755236869,-0.007044507710932013,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,6d1cfb8982def5880eb891727e015ddaa68b5a7c86dde32e87322135b0c165a5
