dataset,model,precision,corruption,severity,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11n,int8-entropy,motion_blur,5,0.3665320370711663,0.055448712799458136,0.31108332427170815,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,dda5ee3cfd91e6b2a500c12c81c7654a8ed7c38bd9d456877f84f4157e8d6be1
coco,yolo11n,fp8,motion_blur,5,0.3780963381874539,0.056712153282832814,0.3213841849046211,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,2d579e4f896b7ade7f097670264c493a4a38596b2cecfd6d9fdb36b20f9a8881
coco,yolo11x,int8-entropy,fog,1,0.5255690163235607,0.5237730892015736,0.001795927121987062,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,6d1cfb8982def5880eb891727e015ddaa68b5a7c86dde32e87322135b0c165a5
coco,yolo11x,fp8,fog,1,0.5346736541543164,0.5316493661065657,0.0030242880477507894,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,59520aa2ea62dbc20f0b11635eb344ce95b6daf8c5c2d7b22d047e82e2f683c3
coco,yolo11x,int8-entropy,fog,3,0.5255690163235607,0.5189027415785505,0.006666274745010137,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,e5f28a0417c09d6a34eba351b0e1641707f6c64bfa3328695d4724f1cf0af885
coco,yolo11x,fp8,fog,3,0.5346736541543164,0.5278371674344788,0.006836486719837609,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,8bfdbb75ad3bde8bf8bb6746da300e52f4625d85b73629c26a6724f1ed1b5463
coco,yolo11x,int8-entropy,fog,5,0.5255690163235607,0.5164564121406985,0.009112604182862194,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,3086bd05ed329f0d3bd36c6310cf0386c7bb362451e8a7b9ca68d47a669e6bb4
coco,yolo11x,fp8,fog,5,0.5346736541543164,0.5263804105410265,0.00829324361328998,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,2c27dc4a30f01835bcff0bdd6b83396e05fde6ed53b41cd2efd3b56e2f141729
coco,yolo11x,int8-entropy,gaussian_noise,1,0.5255690163235607,0.5061350069000514,0.019434009423509258,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,c314b4deb180b0bc54fa44db88e009e5d49d9e456315d87b439a8c92571f58a2
coco,yolo11x,fp8,gaussian_noise,1,0.5346736541543164,0.5167915109481243,0.01788214320619219,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,b22d203652c2c9b05ed6c2b09f8e869fe798c5ba50692e63ab8c68e645764bf3
coco,yolo11x,int8-entropy,gaussian_noise,3,0.5255690163235607,0.4581371363746429,0.0674318799489178,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,13fc522c5685d3e4b8456aefc140daef0880620b11171bf7e5eb478a56966dd8
coco,yolo11x,fp8,gaussian_noise,3,0.5346736541543164,0.46976717821916536,0.06490647593515109,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,ca160d7453dd42804e9370b5501fb1f308521172a77a95f5fdfa8d7c65b74664
coco,yolo11x,int8-entropy,gaussian_noise,5,0.5255690163235607,0.3648261266284001,0.1607428896951606,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,0c5401179945af62b5a8fc6985861fa61586766d5b15780476aea2db3d6a30a4
coco,yolo11x,fp8,gaussian_noise,5,0.5346736541543164,0.3649902544438604,0.16968339971045604,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,2009c8c71acaefe9e4a514401932dab92e7008fb8b0f04b0c23edbb31a876c3f
coco,yolo11x,int8-entropy,jpeg,1,0.5255690163235607,0.5081956414854157,0.01737337483814494,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,fa51f7672a483bc89a1c7ea0c66b779227812880e15f45c04f064ecf2cff9838
coco,yolo11x,fp8,jpeg,1,0.5346736541543164,0.5154324369062417,0.019241217248074705,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,b40f9632fd4f0a82f35b55e3d5735376a676fffc24af5b56305105729b19935a
coco,yolo11x,int8-entropy,jpeg,3,0.5255690163235607,0.47020329448327336,0.05536572184028732,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,c197c7d06a73d141cdb51d90dbfa0ef03be3eab44e347a0a5ee6b87f4d6c604d
coco,yolo11x,fp8,jpeg,3,0.5346736541543164,0.4668936006303454,0.06778005352397104,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,2f420fe18f8258aa7280320274026af6e9bc0383c0afc804e3f767032cae000d
coco,yolo11x,int8-entropy,jpeg,5,0.5255690163235607,0.24460659357625095,0.28096242274730976,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,df97739d73b9ebb5e5c428e0dd6bb7a74a60ed40f1c07703e76bc46fece3bf41
coco,yolo11x,fp8,jpeg,5,0.5346736541543164,0.21141892203816054,0.3232547321161559,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,1ef528b9db0bcf4a4eecef0fcebb1eb228bda3b667cc0d38e6c393a70c453018
coco,yolo11x,int8-entropy,motion_blur,1,0.5255690163235607,0.467208661272389,0.05836035505117165,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,d81965f6c8668a3e9ef68675cc311db91ac687e79ceca0b0efaea0b563b9fafd
coco,yolo11x,fp8,motion_blur,1,0.5346736541543164,0.47725695100204946,0.05741670315226699,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,0e18e8d76c610d3ac7ef6b37d582073acb5763bede9a1fef1b2f07c62e0384d6
coco,yolo11x,int8-entropy,motion_blur,3,0.5255690163235607,0.2776486356816007,0.24792038064195998,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,9c2e5a7fbd478946897c79040ee7aa9dd69e6ba790470fe686e67a4a96e38131
coco,yolo11x,fp8,motion_blur,3,0.5346736541543164,0.287105207369365,0.24756844678495143,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,e730e073c18785bdda65ef1b814ffdaabc1e9d90577a5dc0ec3a612be739768a
coco,yolo11x,int8-entropy,motion_blur,5,0.5255690163235607,0.1312990977604856,0.3942699185630751,388264898ccf423b199e1a07c232c8026453d04cebba2d64a796cda00d4d8a0a,84657245632fd37cec93464945f9c59a75eafcb88b607cbf21f4daa427827c33
coco,yolo11x,fp8,motion_blur,5,0.5346736541543164,0.1421436218958194,0.39253003225849703,67a28953e3b48ebf1e86bbd077ce53a35ed24137d02d4275b29195c13381f6cb,79350a4120ba75a902489794bcac3931217ced027055fbadd3daed78e231d13d
kitti,yolo11m,int8-entropy,fog,1,0.6934168951443126,0.6432809043904889,0.05013599075382369,d7a986f97f2d453c029217e5d019a2b3a840020a6f97af82a6c8c8edda124120,aa1c3c0b300ed5e038aac8697ca020d6b474431c1788d432be5503d5d8547ba4
